Time(s),Theta_MATLAB,Omega_MATLAB,Theta_CPP,Omega_CPP,Theta_IKF,Omega_IKF,CycleTime_us
0.098000,1.124983,1.057681,0.634532,1.724529,1.124983,1.057105,11.000000
0.099000,1.126043,1.062841,0.636263,1.736327,1.126043,1.062264,13.000000
0.100000,1.127109,1.067988,0.638006,1.748109,1.127109,1.067411,19.000000
0.101000,1.128179,1.073125,0.639760,1.759876,1.128179,1.072547,10.000000
0.102000,1.129255,1.078249,0.641527,1.771626,1.129255,1.077671,11.000000
0.103000,1.130336,1.083362,0.643305,1.783360,1.130336,1.082784,237.000000
0.104000,1.131422,1.088462,0.645094,1.795078,1.131421,1.087885,226.000000
0.105000,1.132513,1.093551,0.646896,1.806779,1.132512,1.092973,49748.000000
0.106000,1.133609,1.098628,0.648709,1.818464,1.133609,1.098050,27.000000
0.107000,1.134710,1.103693,0.650534,1.830132,1.134710,1.103115,15.000000
0.108000,1.135816,1.108746,0.652371,1.841783,1.135816,1.108168,16.000000
0.109000,1.136928,1.113787,0.654219,1.853417,1.136927,1.113208,15.000000
0.110000,1.138044,1.118815,0.656079,1.865034,1.138044,1.118237,13.000000
0.111000,1.139165,1.123832,0.657950,1.876633,1.139165,1.123253,32.000000
0.112000,1.140291,1.128836,0.659833,1.888215,1.140291,1.128256,13.000000
0.113000,1.141423,1.133827,0.661728,1.899780,1.141423,1.133248,12.000000
0.114000,1.142559,1.138806,0.663634,1.911326,1.142559,1.138227,12.000000
0.115000,1.143700,1.143773,0.665551,1.922855,1.143700,1.143193,15.000000
0.116000,1.144847,1.148727,0.667481,1.934366,1.144846,1.148147,14.000000
0.117000,1.145998,1.153669,0.669421,1.945858,1.145998,1.153089,13.000000
0.118000,1.147154,1.158597,0.671373,1.957333,1.147154,1.158017,14.000000
0.119000,1.148315,1.163513,0.673337,1.968788,1.148315,1.162933,12.000000
0.120000,1.149481,1.168417,0.675312,1.980225,1.149481,1.167836,15.000000
0.121000,1.150652,1.173307,0.677299,1.991644,1.150652,1.172727,14.000000
0.122000,1.151828,1.178185,0.679297,2.003043,1.151827,1.177604,14.000000
0.123000,1.153008,1.183049,0.681306,2.014423,1.153008,1.182468,15.000000
0.124000,1.154194,1.187901,0.683327,2.025784,1.154193,1.187320,11.000000
0.125000,1.155384,1.192739,0.685359,2.037126,1.155384,1.192158,12.000000
0.126000,1.156579,1.197564,0.687402,2.048448,1.156579,1.196983,12.000000
0.127000,1.157779,1.202376,0.689457,2.059750,1.157779,1.201795,12.000000
0.128000,1.158984,1.207175,0.691523,2.071033,1.158984,1.206594,93.000000
0.129000,1.160194,1.211961,0.693600,2.082295,1.160193,1.211379,16.000000
0.130000,1.161408,1.216733,0.695688,2.093537,1.161408,1.216151,12.000000
0.131000,1.162627,1.221491,0.697788,2.104759,1.162627,1.220909,12.000000
0.132000,1.163851,1.226236,0.699899,2.115961,1.163851,1.225654,11.000000
0.133000,1.165079,1.230968,0.702021,2.127142,1.165079,1.230386,13.000000
0.134000,1.166313,1.235686,0.704154,2.138302,1.166312,1.235103,11.000000
0.135000,1.167551,1.240390,0.706299,2.149441,1.167551,1.239807,13.000000
0.136000,1.168794,1.245080,0.708454,2.160559,1.168793,1.244498,14.000000
0.137000,1.170041,1.249757,0.710621,2.171656,1.170041,1.249174,26.000000
0.138000,1.171293,1.254420,0.712799,2.182731,1.171293,1.253837,15.000000
0.139000,1.172550,1.259069,0.714987,2.193785,1.172550,1.258486,14.000000
0.140000,1.173811,1.263703,0.717187,2.204817,1.173811,1.263120,14.000000
0.141000,1.175077,1.268324,0.719398,2.215827,1.175077,1.267741,12.000000
0.142000,1.176348,1.272931,0.721620,2.226815,1.176348,1.272348,12.000000
0.143000,1.177623,1.277524,0.723853,2.237781,1.177623,1.276940,12.000000
0.144000,1.178903,1.282102,0.726097,2.248725,1.178903,1.281518,12.000000
0.145000,1.180187,1.286666,0.728351,2.259646,1.180187,1.286082,11.000000
0.146000,1.181476,1.291216,0.730617,2.270544,1.181476,1.290632,14.000000
0.147000,1.182770,1.295751,0.732894,2.281420,1.182769,1.295167,14.000000
0.148000,1.184068,1.300272,0.735181,2.292272,1.184067,1.299688,13.000000
0.149000,1.185370,1.304779,0.737479,2.303101,1.185370,1.304194,14.000000
0.150000,1.186677,1.309271,0.739788,2.313907,1.186677,1.308686,14.000000
0.151000,1.187989,1.313748,0.742108,2.324690,1.187988,1.313163,14.000000
0.152000,1.189305,1.318211,0.744439,2.335449,1.189304,1.317626,14.000000
0.153000,1.190625,1.322659,0.746780,2.346184,1.190625,1.322074,13.000000
0.154000,1.191950,1.327092,0.749132,2.356895,1.191950,1.326507,48314.000000
0.155000,1.193279,1.331510,0.751495,2.367582,1.193279,1.330925,18.000000
0.156000,1.194613,1.335914,0.753868,2.378244,1.194613,1.335328,11.000000
0.157000,1.195951,1.340302,0.756253,2.388882,1.195951,1.339716,10.000000
0.158000,1.197294,1.344676,0.758647,2.399496,1.197293,1.344090,11.000000
0.159000,1.198641,1.349034,0.761053,2.410084,1.198640,1.348448,11.000000
0.160000,1.199992,1.353377,0.763468,2.420648,1.199991,1.352791,11.000000
0.161000,1.201347,1.357705,0.765895,2.431187,1.201347,1.357119,11.000000
0.162000,1.202707,1.362018,0.768332,2.441700,1.202707,1.361432,11.000000
0.163000,1.204071,1.366316,0.770779,2.452187,1.204071,1.365729,14.000000
0.164000,1.205440,1.370598,0.773237,2.462650,1.205439,1.370011,11.000000
0.165000,1.206812,1.374865,0.775706,2.473086,1.206812,1.374278,12.000000
0.166000,1.208189,1.379116,0.778184,2.483496,1.208189,1.378529,11.000000
0.167000,1.209571,1.383352,0.780674,2.493880,1.209570,1.382765,11.000000
0.168000,1.210956,1.387573,0.783173,2.504238,1.210956,1.386985,11.000000
0.169000,1.212346,1.391777,0.785683,2.514569,1.212346,1.391190,10.000000
0.170000,1.213740,1.395966,0.788203,2.524874,1.213739,1.395379,11.000000
0.171000,1.215138,1.400140,0.790734,2.535152,1.215137,1.399552,11.000000
0.172000,1.216540,1.404297,0.793275,2.545403,1.216540,1.403710,10.000000
0.173000,1.217946,1.408439,0.795826,2.555626,1.217946,1.407851,11.000000
0.174000,1.219357,1.412565,0.798387,2.565823,1.219357,1.411977,11.000000
0.175000,1.220772,1.416675,0.800958,2.575992,1.220771,1.416087,11.000000
0.176000,1.222190,1.420769,0.803540,2.586133,1.222190,1.420180,11.000000
0.177000,1.223613,1.424846,0.806132,2.596246,1.223613,1.424258,11.000000
0.178000,1.225040,1.428908,0.808734,2.606332,1.225040,1.428320,11.000000
0.179000,1.226471,1.432954,0.811345,2.616389,1.226471,1.432365,11.000000
0.180000,1.227906,1.436983,0.813967,2.626417,1.227906,1.436394,11.000000
0.181000,1.229345,1.440996,0.816599,2.636418,1.229345,1.440407,10.000000
0.182000,1.230788,1.444993,0.819241,2.646389,1.230788,1.444404,11.000000
0.183000,1.232235,1.448974,0.821893,2.656332,1.232234,1.448385,11.000000
0.184000,1.233686,1.452938,0.824555,2.666245,1.233685,1.452348,11.000000
0.185000,1.235141,1.456885,0.827226,2.676130,1.235140,1.456296,10.000000
0.186000,1.236600,1.460816,0.829908,2.685985,1.236599,1.460227,10.000000
0.187000,1.238062,1.464731,0.832599,2.695810,1.238062,1.464141,11.000000
0.188000,1.239529,1.468628,0.835301,2.705606,1.239529,1.468039,10.000000
0.189000,1.241000,1.472510,0.838012,2.715372,1.240999,1.471920,11.000000
0.190000,1.242474,1.476374,0.840732,2.725107,1.242474,1.475784,11.000000
0.191000,1.243952,1.480222,0.843463,2.734813,1.243952,1.479632,10.000000
0.192000,1.245434,1.484052,0.846203,2.744488,1.245434,1.483462,11.000000
0.193000,1.246920,1.487866,0.848953,2.754132,1.246920,1.487276,11.000000
0.194000,1.248410,1.491663,0.851712,2.763746,1.248410,1.491073,11.000000
0.195000,1.249904,1.495443,0.854481,2.773328,1.249903,1.494853,11.000000
0.196000,1.251401,1.499206,0.857260,2.782880,1.251401,1.498616,11.000000
0.197000,1.252902,1.502952,0.860048,2.792400,1.252902,1.502362,11.000000
0.198000,1.254407,1.506681,0.862845,2.801889,1.254407,1.506090,11.000000
0.199000,1.255915,1.510392,0.865653,2.811346,1.255915,1.509802,11.000000
0.200000,1.257428,1.514087,0.868469,2.820771,1.257427,1.513496,12.000000
0.201000,1.258944,1.517764,0.871295,2.830164,1.258943,1.517173,11.000000
0.202000,1.260463,1.521423,0.874130,2.839525,1.260463,1.520832,11.000000
0.203000,1.261986,1.525066,0.876975,2.848854,1.261986,1.524475,11.000000
0.204000,1.263513,1.528691,0.879829,2.858150,1.263513,1.528099,101.000000
0.205000,1.265044,1.532298,0.882692,2.867413,1.265044,1.531707,416.000000
0.206000,1.266578,1.535888,0.885565,2.876644,1.266578,1.535296,44514.000000
0.207000,1.268116,1.539460,0.888446,2.885841,1.268115,1.538869,11.000000
0.208000,1.269657,1.543015,0.891337,2.895005,1.269657,1.542423,10.000000
0.209000,1.271202,1.546552,0.894237,2.904136,1.271201,1.545960,10.000000
0.210000,1.272750,1.550071,0.897146,2.913233,1.272750,1.549479,10.000000
0.211000,1.274302,1.553572,0.900065,2.922297,1.274301,1.552980,10.000000
0.212000,1.275857,1.557056,0.902992,2.931326,1.275857,1.556464,10.000000
0.213000,1.277416,1.560522,0.905928,2.940322,1.277416,1.559930,10.000000
0.214000,1.278978,1.563970,0.908873,2.949283,1.278978,1.563377,11.000000
0.215000,1.280544,1.567400,0.911828,2.958209,1.280544,1.566807,10.000000
0.216000,1.282113,1.570811,0.914791,2.967101,1.282113,1.570219,10.000000
0.217000,1.283685,1.574205,0.917763,2.975959,1.283685,1.573613,10.000000
0.218000,1.285261,1.577581,0.920744,2.984781,1.285261,1.576988,10.000000
0.219000,1.286841,1.580939,0.923733,2.993568,1.286840,1.580346,10.000000
0.220000,1.288423,1.584278,0.926732,3.002320,1.288423,1.583685,10.000000
0.221000,1.290009,1.587599,0.929739,3.011036,1.290009,1.587006,10.000000
0.222000,1.291598,1.590902,0.932754,3.019716,1.291598,1.590309,10.000000
0.223000,1.293191,1.594186,0.935779,3.028361,1.293191,1.593594,10.000000
0.224000,1.294787,1.597453,0.938812,3.036970,1.294786,1.596860,10.000000
0.225000,1.296386,1.600700,0.941854,3.045542,1.296386,1.600107,10.000000
0.226000,1.297988,1.603930,0.944904,3.054078,1.297988,1.603336,10.000000
0.227000,1.299594,1.607140,0.947963,3.062578,1.299593,1.606547,10.000000
0.228000,1.301202,1.610332,0.951030,3.071040,1.301202,1.609739,10.000000
0.229000,1.302814,1.613506,0.954106,3.079466,1.302814,1.612913,10.000000
0.230000,1.304429,1.616661,0.957190,3.087855,1.304429,1.616068,10.000000
0.231000,1.306048,1.619797,0.960282,3.096206,1.306047,1.619204,10.000000
0.232000,1.307669,1.622915,0.963383,3.104520,1.307669,1.622321,10.000000
0.233000,1.309293,1.626013,0.966492,3.112797,1.309293,1.625420,666.000000
0.234000,1.310921,1.629093,0.969609,3.121035,1.310921,1.628500,18.000000
